element	occurrence frequency
a graph-based approach	6
lexical substitution	6
named entity extraction	6
search	6
kernel methods	6
dynamic programming	6
the generation	6
chunking	6
collection	6
beam search	6
reading comprehension	6
partial parsing	6
the processing	6
pre-trained language models	6
generalization	6
knowledge extraction	6
community question answering	6
in search	6
a computational theory	6
paraphrase generation	6
pre-training	6
experimenting	6
log-linear models	6
looking	6
shared task system description	6
semantic relation classification	6
reranking	6
multilingual neural machine translation	6
automatic creation	6
machine reading comprehension	6
a corpus-based analysis	6
a simple approach	6
a comparative evaluation	6
a unified approach	6
neural attention	6
self-attention	6
parameter estimation	6
parallel corpus filtering	6
aspect-based sentiment analysis	6
a unified model	6
confidence estimation	6
knowledge acquisition	6
initial experiments	6
emoji prediction	6
argument mining	6
unsupervised parsing	6
selection	6
classifier combination	6
cross-lingual transfer learning	6
frame semantics	6
hidden markov models	6
bayesian inference	6
opinion mining	6
asian translation	6
arabic dialect identification	6
segment-based acoustic models	6
algorithms	6
a probabilistic approach	6
posterior regularization	6
automatic induction	5
a cognitive model	5
dialogue act recognition	5
inductive learning	5
understanding	5
cross-lingual pronoun prediction	5
the design	5
the acquisition	5
discriminative training	5
a semantic approach	5
emotion analysis	5
evaluating machine translation	5
spectral learning	5
computational models	5
referring expression generation	5
sequence tagging	5
text mining	5
language learning	5
unsupervised detection	5
semantic dependency parsing	5
development and evaluation	5
term extraction	5
stacking	5
shallow discourse parsing	5
exact decoding	5
recognizing textual entailment	5
a collection	5
natural language understanding	5
a pragmatic approach	5
attending	5
efficient inference	5
chinese zero pronoun resolution	5
semi-supervised training	5
query translation	5
random indexing	5
an integrated approach	5
triangulation	5
parser evaluation	5
usability evaluation	5
rhetorical structure theory	5
dimensional sentiment analysis	5
visualization	5
offensive language detection	5
error correction	5
a re-examination	5
a bootstrapping approach	5
a bayesian approach	5
acquisition	5
automatic assessment	5
text chunking	5
multi-choice question answering	5
an introduction	5
improving machine translation	5
dialogue act classification	5
gaussian processes	5
automatic text summarization	5
entity disambiguation	5
text understanding	5
a unification-based approach	5
suggestion mining	5
automatic term extraction	5
a quantitative analysis	5
joint extraction	5
resolution	5
morphological annotation	5
a comparative analysis	5
an assessment	5
an unsupervised model	5
adversarial domain adaptation	5
the evolution	5
text summarization	5
a distributional model	5
the analysis	5
discriminative word alignment	5
graph-based semi-supervised learning	5
language model adaptation	5
passage retrieval	5
hybrid models	5
variational inference	5
support	5
a multilingual approach	5
automatic keyphrase extraction	5
universal morphological reinflection	5
a neural model	5
robust processing	5
ranking	5
discourse parsing	5
inductive logic programming	5
compilation	5
semi-automatic construction	5
question classification	5
prepositional phrase attachment	5
unsupervised dependency parsing	5
statistical parsing	5
adversarial learning	4
computation	4
an incremental model	4
construction and analysis	4
explanation-based learning	4
a neural network approach	4
the alignment	4
bilingual bootstrapping	4
semi-supervised semantic role labeling	4
the resolution	4
label propagation	4
extrinsic evaluation	4
training and evaluation	4
multi-label classification	4
a discriminative approach	4
unsupervised word segmentation	4
paraphrase detection	4
communication	4
the integration	4
an empirical approach	4
implicit discourse relation recognition	4
a cascaded approach	4
a generative approach	4
an efficient algorithm	4
named entity disambiguation	4
instance weighting	4
improving event detection	4
lexical simplification	4
unsupervised alignment	4
two approaches	4
minimum error rate training	4
scientific writing	4
fine-grained entity typing	4
improving dependency parsing	4
prefix probabilities	4
entailment	4
performance evaluation	4
incremental generation	4
investigation	4
biomedical named entity recognition	4
question-answering	4
some experiments	4
multilingual emoji prediction	4
feedback	4
sequential labeling	4
compositional generalization	4
constraint satisfaction	4
unsupervised classification	4
an empirical assessment	4
automatic selection	4
lexical semantics	4
the translation	4
customer feedback analysis	4
code-switching	4
deep learning models	4
large vocabulary continuous speech recognition	4
a critical evaluation	4
supersense tagging	4
rapid prototyping	4
error detection	4
unsupervised word alignment	4
discourse processing	4
semi-supervised clustering	4
structured learning	4
compositional distributional semantics	4
first-order logic	4
machine transliteration	4
optimization	4
aspect extraction	4
latent semantic indexing	4
spectral analysis	4
frames	4
data-to-text generation	4
unsupervised adaptation	4
disfluency detection	4
speech translation	4
the automatic analysis	4
hunting	4
constraint propagation	4
word-sense disambiguation	4
reviews	4
end-to-end relation extraction	4
quantitative analysis	4
training data augmentation	4
linguistics	4
jointly learning	4
decipherment	4
building	4
pronoun resolution	4
graph-based clustering	4
sentence alignment	4
hierarchical clustering	4
error mining	4
negation	4
maximum entropy model	4
web mining	4
spectral clustering	4
improving translation	4
constituent parsing	4
task-based evaluation	4
temporal annotation	4
a bootstrapping method	4
structural correspondence learning	4
logistic regression	4
neural relation extraction	4
emotion recognition	4
mining	4
weakly supervised learning	4
bilingual lexicon induction	4
factorization	4
multi-objective optimization	4
assessment	4
decoding	4
exploitation	4
belief propagation	4
realization	4
an ontology-based approach	4
the effectiveness	4
pretrained language models	4
a maximum entropy model	4
geolocation	4
dialogue generation	4
the automatic evaluation	4
emotion classification	4
transductive learning	4
stochastic language generation	4
inference	4
principles	4
probing	4
transformation-based learning	4
morphological reinflection	4
a transfer learning approach	4
semantic processing	4
sentiment detection	4
fusion	4
meta-learning	4
a data-driven approach	4
grammatical error detection	4
a deep learning approach	4
answer selection	4
a pipeline approach	4
data selection	4
automatic question generation	4
character identification	4
a new method	4
universal dependency parsing	4
system description	4
translation model adaptation	4
the pragmatics	4
curriculum learning	4
interactive learning	4
cross-lingual word sense disambiguation	4
improved statistical machine translation	4
the interpretation	4
joint prediction	4
knowledge base completion	4
adapting	4
estimation	4
word-level language identification	4
semantic evaluation	4
design and evaluation	4
hierarchical phrase-based translation	4
the description	4
improving word sense disambiguation	4
unsupervised word sense disambiguation	4
semantic representation	4
distributional analysis	4
keyphrase generation	4
quality assessment	4
uncertainty detection	4
neural news recommendation	4
from research	4
cross-language information retrieval	4
annotation and analysis	4
a neural network model	4
automatic semantic classification	4
a probabilistic generative model	4
a large collection	4
system combination	4
punctuation	4
stance classification	4
transfer	4
unsupervised extraction	4
multilingual detection	4
improving named entity recognition	4
a clustering approach	4
automatic keyword extraction	4
discourse segmentation	4
automatic image annotation	3
a brief introduction	3
annotation and evaluation	3
automatic compilation	3
multi-turn question answering	3
dimensionality reduction	3
spatial role labeling	3
lagrangian relaxation	3
from theory	3
joint training	3
few-shot learning	3
cross-lingual induction	3
tag parsing	3
retrieval	3
improved reordering	3
grammar specialization	3
meaning	3
automatic detection and classification	3
probabilistic parsing	3
hedge detection	3
planning	3
collocation extraction	3
responding	3
word confidence estimation	3
discourse annotation	3
temporal classification	3
metric learning	3
opinion target extraction	3
formal semantics	3
document modeling	3
topic classification	3
improving the precision	3
the identification	3
semantic clustering	3
negative sampling	3
neural topic modeling	3
evolution	3
lexical rules	3
transformer models	3
robust neural machine translation	3
continuous learning	3
portable software modules	3
semantic matching	3
focus annotation	3
a semantic-based approach	3
dialogue act modeling	3
a formal model	3
multilingual parsing	3
semi-automatic annotation	3
multi-head attention	3
aggregation	3
simulation	3
topic segmentation	3
word order variation	3
data collection and analysis	3
meaning representation	3
interoperable annotation	3
all-words word sense disambiguation	3
automated evaluation	3
particle swarm optimization	3
the proper treatment	3
semantic composition	3
comparative experiments	3
arabic diacritization	3
syntax-based machine translation	3
forest reranking	3
two methods	3
a statistical method	3
categorization	3
ellipsis resolution	3
deep multi-task learning	3
a data driven approach	3
arabic fine-grained dialect identification	3
sequence classification	3
description	3
twitter sentiment analysis	3
global learning	3
evaluating the effectiveness	3
a tabular interpretation	3
limited supervision	3
fake news detection	3
cross-lingual learning	3
collaborative annotation	3
improving pos tagging	3
automatic processing	3
constrained decoding	3
topic identification	3
a review	3
a finite-state approach	3
cross-lingual textual entailment	3
a two-stage approach	3
an evolutionary approach	3
corpus-based learning	3
structural alignment	3
abstractive text summarization	3
a demonstration	3
fine-tuning	3
a statistical analysis	3
creation and evaluation	3
efficient search	3
a classification approach	3
improving sentiment analysis	3
semantic analysis	3
bootstrapping named entity recognition	3
dialect classification	3
memoisation	3
morphosyntactic tagging	3
feature logic	3
formal concept analysis	3
sense disambiguation	3
word clustering	3
a memory-based approach	3
chinese semantic role labeling	3
automatic segmentation	3
a context-aware approach	3
a new model	3
iterative refinement	3
a dependency grammar analysis	3
rapid deployment	3
machine learning approach	3
lexical transfer	3
improving evaluation	3
a connectionist approach	3
multi-domain neural machine translation	3
measuring semantic relatedness	3
combining stochastic and rule-based methods	3
multilingual dependency parsing	3
semi-automatic acquisition	3
transitivity	3
a bayesian mixture model	3
a simple method	3
simulated annealing	3
online large-margin training	3
a dynamic programming algorithm	3
an entity-based approach	3
abusive language detection	3
automated translation	3
deep linguistic processing	3
robust extraction	3
temporal relation classification	3
pattern matching	3
abstractive multi-document summarization	3
maximum entropy model learning	3
hypothesis selection	3
phylogenetic inference	3
online reviews	3
creating and	3
neural semantic parsing	3
the treatment	3
semi-supervised chinese word segmentation	3
validation	3
comparing models	3
phrase-based translation models	3
statistical post-editing	3
bilingual generation	3
meta learning	3
expectation maximization	3
the prediction	3
automatic detection and correction	3
nlp models	3
narrative generation	3
a transformation-based approach	3
subcategorization frames	3
spoken language processing	3
unsupervised semantic role induction	3
fast domain adaptation	3
a corpus-based evaluation	3
minimal recursion semantics	3
minimum bayes-risk decoding	3
transliteration mining	3
efficient extraction	3
conversion	3
an example-based approach	3
offensive language identification	3
entity recognition	3
short answer scoring	3
lexical selection	3
detection and interpretation	3
dialog state tracking	3
sensitivity	3
emotion	3
grounded language learning	3
sequence-to-sequence learning	3
improving entity linking	3
effectiveness	3
a level-synchronous approach	3
word sense discrimination	3
an empirical exploration	3
a two-step approach	3
the computation	3
reference resolution	3
the writing	3
training	3
probabilistic inference	3
theory and experiments	3
the contribution	3
an automatic method	3
item response theory	3
graph co-ranking	3
automatic alignment	3
deception detection	3
utilization	3
finite-state morphological analysis	3
regularization	3
an information-theoretic approach	3
a classification	3
cross language text categorization	3
measurement	3
technology transfer	3
feature-rich part-of-speech tagging	3
surface realization	3
effective parsing	3
the relation	3
mt evaluation	3
a description	3
semi-supervised dependency parsing	3
a generalization	3
anaphoric annotation	3
weakly-supervised acquisition	3
syntactic annotation	3
hierarchical reinforcement learning	3
a language-independent approach	3
example-based machine translation	3
supervised models	3
semantic role assignment	3
positive unlabeled learning	3
automatic disambiguation	3
aggression detection	3
sentence classification	3
decomposition	3
temporal relation extraction	3
hierarchical attention	3
japanese dependency parsing	3
an ensemble model	3
automatic text simplification	3
the expression	3
the structural analysis	3
hashtag recommendation	3
a graph-based algorithm	3
interactive multimedia explanation	3
regression	3
finite-state approximation	3
de-identification	3
automatic text categorization	3
a novel method	3
template design	3
co-reference resolution	3
stylistic variation	3
a function	3
boosting	3
building and	3
named entity transliteration	3
word translation disambiguation	3
syntax and semantics	3
chinese semantic dependency parsing	3
programming	3
hate speech detection	3
better evaluation	3
morphological segmentation	3
a task-oriented evaluation	3
self-learning	3
referring	3
a stochastic language model	3
semantic extraction	3
linguistic models	3
adaptive language modeling	3
aggression identification	3
translating	3
taxonomy induction	3
a computational treatment	3
chinese poetry generation	3
web search	3
a simple and effective approach	3
a neural attention model	3
evaluation and analysis	3
bilingual dictionary induction	3
finite state methods	3
a rule based approach	3
textual inference	3
prosody	3
improving chinese word segmentation	3
deep semantics	3
an iterative approach	3
collaboration	3
enhancement	3
neural network models	3
lexicalization	3
abductive inference	3
cube pruning	3
gibbs sampling	3
causal inference	3
agreement	3
user evaluation	3
practical parsing	3
synonym extraction	3
authorship identification	3
latent dirichlet allocation	3
the next generation	3
evaluation methods	3
interlingua	3
data collection	3
stylometric analysis	3
hierarchical representation	3
indirect supervision	3
multi-turn response selection	3
amr-to-text generation	3
tree transduction	3
constituency parsing	3
metarules	3
interactive visualization	3
unsupervised disambiguation	3
an extension	3
multilingual authoring	3
a new paradigm	3
verification	3
accumulation	3
japanese dependency analysis	3
a language modeling approach	3
unsupervised morphological segmentation	3
comparing approaches	3
name tagging	3
a corpus-based investigation	3
improved language modeling	3
machine translation system combination	3
sentiment	3
semantic search	3
sentence extraction	3
the unreasonable effectiveness	3
focusing	3
simultaneous interpretation	3
data point selection	3
preliminary experiments	3
computer generation	3
semi-supervised relation extraction	3
dialogue segmentation	3
the disambiguation	3
benchmarking	3
a solution	3
computational semantics	3
sample selection	3
a systematic exploration	3
computational modeling	3
morphological tagging	3
representation learning	3
recommendation	3
the afrl submission	3
improving robustness	3
automated alignment and extraction	3
phrase-based statistical machine translation	3
morphosyntactic disambiguation	2
a pipeline model	2
effective attention modeling	2
a minimally supervised approach	2
semantic construction	2
rumour stance classification	2
reordering rules	2
robust semantic analysis	2
a conditional random field approach	2
representation	2
a holistic approach	2
cross-lingual structure transfer	2
statistical methods	2
german dialect identification	2
improving implicit discourse relation recognition	2
a finite-state model	2
a corpus-based learning method	2
reference domain theory	2
corpus statistics	2
readability assessment	2
entity extraction	2
word learning	2
evaluating alignment techniques	2
dependency language models	2
personal attributes extraction	2
a discriminative topic model	2
automatic thesaurus construction	2
pointing	2
computer-assisted translation	2
peking	2
treatment	2
hypertext authoring	2
learning optimal dialogue strategies	2
predicate argument clustering	2
sequence-to-graph transduction	2
a cross-cultural analysis	2
practical glossing	2
word domain disambiguation	2
discrete optimization	2
cross-lingual text classification	2
modeling vocal interaction	2
automatic poetry generation	2
simple question answering	2
an analogy-based approach	2
neural data-to-text generation	2
continuous space translation models	2
human-computer interaction	2
decision tree learning	2
chemical named entity recognition	2
a semantics-based approach	2
translation quality estimation	2
controlling	2
multi-engine machine translation	2
context-sensitive generation	2
linguistic annotation	2
automation and evaluation	2
early text classification	2
improving pivot-based statistical machine translation	2
ensemble semantics	2
practical experiments	2
a centering approach	2
hybrid dictionary and statistical sentence alignment	2
semantic relatedness	2
deep parsing	2
semantic relation extraction and classification	2
topic-based multi-document summarization	2
semantic relatedness and textual entailment	2
neural attention models	2
word level language identification	2
slr validation	2
feature weighting	2
lexical semantic techniques	2
general-to-specific model selection	2
re-assessing the wmt2013 human evaluation	2
ukp lab system description	2
large-scale acquisition	2
cross-lingual semantic parsing	2
deep active learning	2
unsupervised neural machine translation	2
automatic lexical acquisition	2
chinese term extraction	2
cultural cues and electronic health record generation	2
the exploration	2
a contrastive approach	2
supervised word sense disambiguation	2
interlingual annotation	2
pardon the interruption	2
predicate argument structure analysis	2
learning rules	2
improving arabic dependency parsing	2
neural paraphrase generation	2
monolingual machine translation	2
a quasi-dependency model	2
tweet sentiment analysis	2
constraint satisfaction inference	2
a discriminative latent variable model	2
grammar error correction	2
optimal transport	2
multi-task active learning	2
graph-based dependency parsing	2
a multi-strategy approach	2
indexing methods	2
semi-supervised modeling	2
compression	2
anaphor resolution	2
the classification	2
annotation scheme	2
user reviews	2
parser adaptation	2
a clustering algorithm	2
pronoun prediction	2
robustness	2
a compositional semantics	2
cross-lingual information retrieval	2
text retrieval	2
open text semantic parsing	2
bayesian techniques	2
toponym detection	2
an empirical model	2
automatic syllabification	2
global lexical selection and sentence reconstruction	2
prioritised tiling	2
dynamic topic adaptation	2
statistical evaluation	2
collective classification	2
robust text processing	2
machine reading	2
a crowdsourcing-based approach	2
improving statistical natural language translation	2
reading	2
user feedback	2
japanese sentence analysis	2
a reranking approach	2
exact inference	2
unsupervised opinion summarization	2
pre-trained language model	2
improving document clustering	2
a general computational model	2
transformation	2
automatic pronominal anaphora resolution	2
hidden markov modeling	2
performance prediction	2
automatic clustering	2
maximum entropy markov models	2
discriminative string transduction	2
incremental integer linear programming	2
hierarchical deep reinforcement learning	2
investigating the effectiveness	2
semantic relation extraction	2
neural headline generation	2
the making	2
evaluating the robustness	2
joint decoding	2
a multi-hop attention	2
recurrent neural network language models	2
spoken dialogue interpretation	2
a language independent approach	2
fine-grained opinion mining	2
dependency-based pre-ordering	2
toward general-purpose learning	2
an agent-based approach	2
data-driven dependency parsing	2
a hierarchical approach	2
partial annotation	2
simplification	2
temporal expression recognition	2
humor analysis	2
ccg and log-linear models	2
propbank annotation	2
indexing and retrieval	2
better automatic evaluation	2
probabilistic methods	2
event linking	2
pcfg parsing	2
language representation	2
probabilistic modelling	2
the automatic generation	2
morpheme segmentation	2
relating syntax and semantics	2
end-to-end learning	2
a feature-based approach	2
text planning	2
geolocation prediction	2
a mathematical model	2
improving grammatical error correction	2
multiple sequence alignment	2
fine-grained propaganda detection	2
an examination	2
embedding methods	2
feature hashing	2
neural multi-task learning	2
commonsense reasoning	2
political ideology detection	2
automated generalization	2
multilingual generation	2
cascaded hybrid model	2
the statistics	2
automatic verb classification	2
large-scale analysis	2
incremental learning	2
graph model	2
referring expression	2
enriching cold start personalized language model	2
a recurrent neural model	2
em-based clustering	2
semi-supervised word sense disambiguation	2
computing semantic relatedness	2
multilingual named entity recognition	2
first story detection	2
independent component analysis	2
characteristics	2
hidden understanding models	2
supervised attention	2
linear text segmentation	2
thematic cohesion	2
rule-based translation	2
a transformer-based approach	2
parallel sentence extraction	2
locality sensitive hashing	2
ensemble classification	2
semi-supervised representation learning	2
a multilingual topic model	2
the distribution	2
outlier detection	2
large language models	2
production	2
improving event coreference resolution	2
neural generation	2
a preliminary model	2
chinese word segmentation and named entity recognition	2
verb sense disambiguation	2
short answer assessment	2
dependency-based semantic role labeling	2
lexical chaining	2
scalable large-margin structured learning	2
a skolem term based approach	2
constructing	2
corpus and experiments	2
proactive learning	2
corpus based selection	2
learning parsing heuristics	2
goodness	2
lexical normalization	2
arabic textual entailment	2
evaluation and improvement	2
a language independent method	2
data-driven parsing	2
multimodal machine translation	2
a sequence-to-sequence approach	2
graph clustering	2
automated assessment	2
a constraint satisfaction approach	2
reasoning and explanation	2
markov models	2
link analysis	2
resources and evaluation	2
a pivot	2
speeding up neural machine translation decoding	2
recipes	2
automatic english-chinese name transliteration	2
efficient decoding	2
computer simulation	2
the vector space model	2
cross-lingual training	2
query classification	2
deep syntactic analysis	2
parse	2
the computational lexical semantics	2
multi-modal models	2
a large-scale evaluation	2
probabilistic rules	2
inside-outside reestimation	2
subcategorization	2
semantic structure analysis	2
multi-hop inference	2
the annotation process	2
meaning representation and meaning instantiation	2
relying	2
subjectivity and sentiment analysis	2
accurate parsing	2
neural generation and translation	2
from machine translation	2
neural network language models	2
sequential learning	2
bilingual document alignment	2
assessing linguistically aware fuzzy matching	2
a sequential model	2
minimally supervised learning	2
image description	2
bilingual co-training	2
modeling word meaning	2
automatic phonetic transcription	2
argument component classification	2
linguistic analysis	2
morphological disambiguation	2
neural reranking	2
automatic dating	2
noun-phrase co-occurrence statistics	2
a language-independent method	2
heuristics	2
a log-linear model	2
inflection generation	2
probabilistic reasoning	2
a flexible approach	2
improving data driven wordclass tagging	2
experiment	2
semi-supervised classification	2
temporal relation identification	2
a bi-multigram model	2
dynamic data selection	2
aspect term extraction	2
tri-training	2
efficient algorithms	2
meaning representation parsing	2
eliminative parsing	2
an evolutionary algorithm	2
adapting coreference resolution	2
analogical learning	2
a multilingual evaluation	2
cross-sentence n-ary relation extraction	2
a linguistic approach	2
instance-based learning	2
unsupervised machine translation	2
an experimental approach	2
interaction	2
hierarchical deep learning	2
an unusual replication	2
learning transformation rules	2
sentence-level quality estimation	2
unsupervised training	2
character tagging	2
abstractive document summarization	2
factoid analysis	2
unsupervised modeling	2
unsupervised pre-training	2
sentence disambiguation	2
spectral decomposition	2
a research proposal	2
phrase extraction	2
mention detection	2
broad-coverage semantic parsing	2
modeling the acquisition	2
mistaken agreement	2
empty category detection	2
unsupervised question answering	2
dependency and its improvement	2
part-of-speech annotation	2
possessive pronominal anaphor resolution	2
evaluating a focus-based approach	2
bootstrapping method	2
japanese ocr error correction	2
noun phrase chunking	2
learning algorithms	2
phrase-based translation	2
tutoring	2
sentence understanding	2
tools and methods	2
verb paradigms	2
joint event extraction	2
addressee and response selection	2
automatic part-of-speech tagging	2
graph partitioning	2
the computational treatment	2
targeted paraphrasing	2
a structured vector space model	2
unsupervised coreference resolution	2
second language learning	2
language and dialect identification	2
word segmentation and named entity recognition	2
adaptive quality estimation	2
a corpus analysis	2
taxonomy construction	2
robust text classification	2
mapping	2
an integrated model	2
search-aware tuning	2
grammatical description	2
morphological generation	2
fast inference	2
multilingual hate speech detection	2
principal component analysis	2
finite-state methods	2
deep natural language understanding	2
text normalization	2
feature decay algorithms	2
an algorithm	2
automated interpretation	2
political forecasting	2
improving japanese-to-english neural machine translation	2
improving coreference resolution	2
a pilot annotation	2
spoken arabic dialect identification	2
the curation	2
word space models	2
the simplification	2
structural disambiguation	2
toward qualitative evaluation	2
combined analysis	2
rapid creation	2
evaluating centering	2
concept combination and term enrichment	2
a tree transducer model	2
latent vector weighting	2
zero-shot entity linking	2
semantic unification	2
genetic search	2
attention mechanism	2
metaphor identification	2
unsupervised evaluation	2
high precision extraction	2
entity set expansion	2
hate speech identification	2
a lexicon-based approach	2
unsupervised part-of-speech tagging	2
question analysis and answer passage retrieval	2
a translation model	2
improving reordering	2
multi-metric optimization	2
unsupervised word translation	2
temporal analysis	2
a knowledge-based method	2
starting	2
encoder-decoder model	2
multimodal reference resolution	2
distant annotation	2
probabilistic soft logic	2
improved sentence alignment	2
better language models	2
abstractive compression	2
singular value decomposition	2
improving summarization	2
government-binding theory	2
non-projective dependency-based pre-reordering	2
speaker adaptation	2
continual learning	2
connotation frames	2
joint models	2
logical inference	2
question inversion	2
context-aware attention	2
discontinuous parsing	2
a* ccg parsing	2
an encoder-decoder approach	2
automatic simplification	2
uncertainty reduction	2
sparse regularization	2
narrative text generation	2
hpsg supertagging	2
uncertainty identification	2
paraphrase recognition	2
global ranking	2
an end-to-end approach	2
tactical generation	2
multiple document summarization	2
commonsense inference	2
pronominal anaphora resolution	2
document retrieval	2
multi-task gaussian processes	2
quantitative and qualitative evaluation	2
restriction	2
the annotation scheme	2
a multi-head attention mechanism	2
latent-variable modeling	2
learning semantics	2
word-level confidence estimation	2
automated construction	2
multiple-sequence alignment	2
modality agnostic meta-learning	2
a supervised machine learning approach	2
a resource-light approach	2
lemmatisation	2
graph parsing	2
playing	2
procedural text generation	2
document-level machine translation	2
improve event detection	2
a probabilistic corpus-driven model	2
decision tree induction	2
task proposal	2
a graph-based semi-supervised learning	2
theory and algorithms	2
text analysis	2
lexical cohesion	2
unsupervised construction	2
proper name translation	2
nlp approaches	2
the amu-uedin submission	2
abductive reasoning	2
improved inference	2
social metaphor detection	2
seq2seq models	2
a bayesian nonparametric approach	2
the l2 acquisition	2
toponym resolution	2
pattern learning	2
automatic transformation	2
lemmatization	2
enhanced search	2
hierarchical dirichlet process	2
collection and analysis	2
heli-based experiments	2
coming	2
a hidden markov model	2
hybrid document indexing	2
discriminative modeling	2
unsupervised relation disambiguation	2
processing	2
a comprehensive analysis	2
pair hidden markov models	2
temporal reasoning	2
learning textual entailment	2
a graph-based method	2
a transition-based algorithm	2
a terminological simplification transformation	2
