element	occurrence frequency
romanian and german	1
algerian arabic	1
arabic and english fora	1
spoken colloquial arabic	1
braille	1
indonesian	1
german and arabic	1
kven	1
spoken modern standard arabic	1
spoken basque	1
colloquial singaporean english	1
controlled greek	1
child european portuguese	1
spoken malaysian cantonese	1
malayalam and tamil language	1
treat arabic	1
a limited-domain english	1
understand classifier error	1
russian and spanish	1
conversational french	1
travel english	1
casual spanish	1
low-resource bengali language	1
tuvan	1
a french	1
classical sanskrit	1
japanese and korean	1
chinese and arabic	1
warao	1
taiwan mandarin	1
tajiki persian	1
slavic	1
ainu	1
non-native spoken english	1
normative standard finnish	1
coptic	1
all that is english may be hindi	1
error	1
german causal language	1
bulgarian and english	1
ainu language	1
ordinary english	1
typed prolog	1
old swedish	1
biblical hebrew	1
written italian	1
azarbaijani turkish	1
korean and english contrastive topic	1
arabic algerian dialects	1
kyrgyz	1
child mandarin	1
italian sign language	1
system error	1
automatic tense translation between chinese and english	1
technical english	1
the french language	1
limited english	1
swiss german and swiss french	1
french and german non-native and native read speech	1
gascon occitan	1
konkani	1
