element	occurrence frequency
transition-based dependency parsing	5
question-answering	5
semantic dependency parsing	5
bootstrapping	5
unsupervised machine translation	5
definition questions	5
chinese semantic role labeling	5
second language learning	5
derivational morphology	5
rule-based machine translation	5
chinese word sense disambiguation	5
predicting the compositionality	5
the clinical domain	5
wmt19	5
natural language learning	5
parsing and generation	5
syntactic parsing	5
improve sentiment classification	5
bilingual terminology extraction	5
ontology population	5
word sense discrimination	5
argumentation mining	5
second language acquisition	5
bilingual lexicon induction	5
multilingual coreference resolution	5
biomedical relation extraction	5
community-based question answering	5
clinical tempeval	5
story generation	5
semantic relation classification	5
document-level neural machine translation	5
dialog systems	5
opinion summarization	5
morphological reinflection	5
topic modeling	5
knowledge graph completion	5
the argument reasoning comprehension task	5
universal dependency parsing	5
a shared task	5
evaluating the impact	5
hierarchical phrase-based machine translation	5
letter-to-phoneme conversion	5
multi-turn response selection	5
amr-to-text generation	5
language documentation	5
definition extraction	5
knowledge base question answering	5
neural dialogue generation	5
semantic representation	5
syntax-based statistical machine translation	5
name tagging	5
neural response generation	5
machine translation system combination	5
arabic dialect identification	5
spelling errors	5
automated speech scoring	5
hpsg	5
query expansion	5
morphologically rich languages	5
question classification	5
ccg	4
cross-lingual sentiment classification	4
multiword expressions	4
order	4
feature selection	4
readability assessment	4
entity extraction	4
endangered languages	4
non-autoregressive neural machine translation	4
semi-supervised learning	4
function words	4
linguistic annotation	4
image captioning	4
evidence	4
collocation extraction	4
knowledge graph reasoning	4
covid-19 literature	4
sentence completion	4
a question answering system	4
communication	4
linear context-free rewriting systems	4
related languages	4
academic writing	4
data-driven dependency parsing	4
lexical simplification	4
news articles	4
text planning	4
emotion analysis	4
multilingual generation	4
document-level relation extraction	4
automatic verb classification	4
end-to-end speech translation	4
chinese relation extraction	4
sentence generation	4
twitter sentiment classification	4
learning word representations	4
tweet classification	4
ftag	4
data-oriented parsing	4
contextual emotion detection	4
slot filling	4
measuring semantic similarity	4
exploring the role	4
speech understanding	4
multi-party conversation	4
fact extraction and verification	4
human sentence processing	4
biomedical information extraction	4
deep learning	4
multi-task learning	4
sentence processing	4
lexical substitution	4
ner	4
language and vision	4
closely related languages	4
restricted domains	4
error detection	4
structural disambiguation	4
discourse processing	4
linguistic style	4
student response analysis	4
aspect extraction	4
parsing speech	4
abusive language detection	4
bionlp shared task 2013	4
deep linguistic processing	4
selectional preference acquisition	4
self-attention networks	4
reading comprehension questions	4
wmt 2016	4
wmt 2015	4
chunking	4
a spoken dialogue system	4
rouge	4
quantification	4
jointly learning	4
second language learners	4
learning chinese	4
parser evaluation	4
unsupervised learning	4
document clustering	4
entity recognition	4
short answer scoring	4
hybrid machine translation	4
unification-based grammars	4
emotion	4
reordering	4
language engineering	4
wat 2019	4
sentence boundary detection	4
reference resolution	4
composition	4
knowledge graph embedding	4
deception detection	4
attention	4
improve statistical machine translation	4
aspect-level sentiment analysis	4
discourse analysis	4
discourse representation theory	4
machine learning	4
patent translation	4
cognate identification	4
coreference annotation	4
convolution kernels	4
grapheme-to-phoneme conversion	4
emotion classification	4
action	4
chinese natural language processing	4
scientific articles	4
grammatical error detection	4
discourse relations	4
evaluating word embeddings	4
nominal predicates	4
chinese event extraction	4
document-level sentiment classification	4
situation semantics	4
dialog act tagging	4
automatic mt evaluation	4
the conll-2014 shared task	4
emoji prediction	4
capturing discriminative attributes	4
joint entity and relation extraction	4
event coreference resolution	4
neural machine translation domain adaptation	4
language processing	4
biological event extraction	4
text-to-text generation	4
text representation	4
ontological semantics	4
pun generation	4
automatic keyphrase extraction	4
definition sentences	4
emotion detection	4
neural machine translation systems	4
learning word embeddings	4
statistical mt	4
hypernym discovery	4
argumentation	4
answer sentence selection	4
system combination	4
asr	4
assessing the ability	4
measuring semantic textual similarity	4
computational semantics	4
depression	4
knowledge representation	4
evaluation metrics	4
natural language parsing	4
conversational machine reading	4
recommendation	4
answer extraction	4
multi-hop question answering	4
statistical dependency parsing	4
improving the quality	4
statistical parsing	4
sentence retrieval	3
parsing results	3
syntactic and semantic dependency parsing	3
decision trees	3
paraphrasing	3
sign language recognition	3
meaning representations	3
biomedical natural language processing	3
argument interpretation	3
sigtyp 2020 shared task	3
hyperpartisan news detection	3
gpsg	3
speech and language processing	3
unrestricted text	3
human-computer interaction	3
inflectional morphology	3
conversational agents	3
fine-grained opinion analysis	3
bayesian word segmentation	3
combinatory categorial grammar	3
connecting the dots	3
the evaluation	3
named entities	3
text similarity	3
opinion analysis	3
document understanding	3
cross-domain sentiment analysis	3
passage reranking	3
multi-label classification	3
unsupervised word segmentation	3
machine translation output	3
language variation	3
word sense induction and disambiguation	3
machine reading	3
the morphology	3
making sense	3
correcting errors	3
first language acquisition	3
chinese part-of-speech tagging	3
human-robot interaction	3
japanese-to-english machine translation	3
essay scoring	3
sentence matching	3
cross-lingual dependency parsing	3
scottish gaelic	3
human language processing	3
support verb constructions	3
improving statistical machine translation	3
lexicalized grammars	3
scientific writing	3
statistical translation	3
low-resource morphological inflection	3
fine-grained propaganda detection	3
fine-grained entity typing	3
meaning representation	3
detecting sarcasm	3
mobile devices	3
multilingual named entity recognition	3
parsing morphologically rich languages	3
patent machine translation	3
inflection	3
chinese personal name disambiguation	3
implicit semantic role labeling	3
exploring features	3
extracting paraphrases	3
arabic fine-grained dialect identification	3
joint chinese word segmentation and part-of-speech tagging	3
style	3
historical comparison	3
video question answering	3
the sigmorphon 2020 shared task	3
opinion classification	3
persuasion	3
spoken language systems	3
multi-domain dialogue state tracking	3
japanese lexical simplification	3
dialog act classification	3
distinguishing descriptions	3
parsing and translation	3
attention-based neural machine translation	3
building a dataset	3
specific domains	3
practical applications	3
the cheap	3
subjectivity and sentiment analysis	3
multilingual emoji prediction	3
an information extraction task	3
the european commission	3
linguistic analysis	3
chinese information retrieval	3
summary generation	3
abstractive text summarization	3
distributional semantic models	3
semi-supervised text classification	3
few-shot text classification	3
cross-framework meaning representation parsing	3
term extraction	3
visual reasoning	3
cross-lingual question answering	3
translation models	3
named entity classification	3
semi-supervised sentiment classification	3
identifying and categorizing offensive language	3
summarization evaluation	3
translation studies	3
sense disambiguation	3
knowledge-based question answering	3
a limited domain	3
morphological inflection	3
fact checking	3
hierarchical machine translation	3
phrase extraction	3
lexical acquisition	3
the named entity task	3
word sense induction	3
extracting relations	3
chinese unknown word extraction	3
lexical ambiguity resolution	3
wmt19 news translation task	3
language education	3
subcategorization preference	3
the persian language	3
counseling conversations	3
phonotactics	3
subjectivity word sense disambiguation	3
human-robot dialogue	3
metaphor identification	3
entity set expansion	3
unsupervised part-of-speech tagging	3
discourse structure	3
incremental parsing	3
unsupervised bilingual lexicon induction	3
government-binding theory	3
time normalization	3
building a treebank	3
discontinuous parsing	3
spoken document retrieval	3
opinion inference	3
parsing-based machine translation	3
neural text classification	3
stochastic language modeling	3
information retrieval systems	3
detecting stance	3
document-level machine translation	3
wmt 2014	3
wmt 2009	3
wmt17	3
latent semantic analysis	3
conversational question answering	3
japanese terminology	3
lexical disambiguation	3
agreement and disagreement	3
partial parsing	3
neural abstractive summarization	3
termeval 2020	3
augmentative and alternative communication	3
a free word order language	3
annotation schemes	3
rte	3
equipment maintenance and repair	3
deterministic dependency parsing	3
unrestricted coreference resolution	3
improve machine translation	3
twitter conversations	3
parse reranking	3
position paper	3
abstract meaning representation parsing	3
children	3
improve coreference resolution	3
grounded language learning	3
harvey mudd college at semeval-2019 task 4	3
sequence-to-sequence learning	3
word translation	3
short-text conversation	3
concept-to-text generation	3
review opinion diversification	3
wat 2018	3
the atis task	3
human language technology	3
e-commerce	3
speech recognition input	3
temporal annotation	3
centering theory	3
learning semantic parsers	3
causality	3
short text classification	3
abstractive sentence summarization	3
framing	3
a computational account	3
extracting constraints	3
the e2e nlg challenge	3
knowledge discovery	3
intonation	3
sentence similarity	3
shallow semantic parsing	3
alignment	3
the chinese syllable-to-word conversion problem	3
temporal knowledge graph completion	3
clinical question answering	3
virtual humans	3
sequence labelling	3
text segmentation	3
historical texts	3
syntactic annotation	3
preposition and determiner errors	3
mapping instructions	3
interactive statistical machine translation	3
similarity	3
text simplification systems	3
teaching nlp	3
comment classification	3
improving information extraction	3
automatic abstracting	3
treebanking	3
active learning	3
bridging the gap	3
bridging anaphora resolution	3
regular polysemy	3
minimalist grammars	3
inference	3
automatic term extraction	3
rumour analysis	3
tempeval-2	3
binding	3
automatic machine translation evaluation	3
historical linguistics	3
base noun phrase identification	3
learning the scope	3
motion events	3
a multilingual setting	3
detecting grammatical errors	3
intelligent tutoring systems	3
implicit emotion classification	3
language evaluation	3
3d scene generation	3
language translation	3
combining linguistic features	3
word formation	3
a new task	3
syntactic disambiguation	3
code-switching named entity recognition	3
chinese spell checking	3
morphological segmentation	3
improve event extraction	3
semantic role classification	3
terminology extraction	3
helping our own	3
chinese ner	3
multi-label text classification	3
knowledge acquisition	3
language models	3
answering questions	3
information density	3
nlg systems	3
improved statistical machine translation	3
word sense alignment	3
universal dependencies	3
unrestricted domains	3
clinical text	3
argument mining	3
textual inference	3
noun compound bracketing	3
stock movement prediction	3
simultaneous machine translation	3
sentiment analysis and opinion mining	3
information fusion	3
negotiation dialogues	3
knowledge-based word sense disambiguation	3
automatic translation	3
context-dependent semantic parsing	3
japanese named entity recognition	3
plagiarism detection	3
web search ranking	3
closing the gap	3
chinese spelling correction	3
frame semantics	3
word-level machine translation quality estimation	3
constituency parsing	3
short text similarity	3
reading comprehension tests	3
tagging	3
stock prediction	3
the wmt 2018 shared task	3
unsupervised grammar induction	3
running text	3
framenet	3
resolving the scope of negation	3
universal morphological reinflection	3
unsupervised information extraction	3
word order	3
articulation disorders	3
extraction	3
question analysis	3
distant supervision	3
argument reasoning comprehension	3
speech summarization	3
neural sentiment analysis	3
target-dependent sentiment analysis	3
diacritic restoration	3
multilingual question answering	3
reasoning	3
simultaneous interpretation	3
language variety identification	3
derivation	3
arabic named entity recognition	3
cross-lingual lexical substitution	3
metaphor interpretation	3
multiparty conversation	3
south and south east asian languages	3
attribution	3
biomedical question answering	3
hindi dependency parsing	3
fact-checking	3
entity alignment	3
linking relevant segments	2
corpus analysis	2
polysemy	2
joint dependency parsing and semantic role labeling	2
wmt17 multimodal translation task	2
negation scope detection	2
text modeling	2
south asian languages	2
inversion transduction grammars	2
commercial summarization applications	2
the translation rules	2
finite domains	2
reading difficulty	2
class-based language models	2
spatial role labeling	2
unsupervised domain adaptation	2
applied linguistics	2
measuring the similarity	2
word alignment and terminology extraction	2
clinical notes	2
eu legislation	2
linguistic structure	2
japanese-to-english statistical machine translation	2
new languages	2
neural dependency parsing	2
citation function	2
introspection	2
companion volume	2
automatic thesaurus construction	2
review summarization	2
mining knowledge	2
monolingual word sense alignment	2
the romanian language	2
tag parsing	2
measuring intensity	2
dialogue annotation	2
retrieval	2
linguistic studies	2
recognizing lexical semantic relations	2
textual conversation	2
automatic speech understanding	2
content analysis	2
semeval-2	2
dependency tree linearization	2
cross-lingual text classification	2
sentence parsing	2
analyzing the effect	2
intra-word code-switching	2
hierarchical text categorization	2
neural data-to-text generation	2
recognising textual entailment	2
automatic arabic error correction	2
the food domain	2
representing discourse coherence	2
probabilistic parsing	2
enriching the output	2
preposition error detection	2
lexicalized tree grammars	2
dialog analysis	2
stance detection	2
ltag parsing	2
natural language disambiguation	2
efficient parsing	2
generating lexical correspondences	2
subset construction	2
human plausible reasoning	2
neural quality estimation	2
specialized domains	2
solving data sparsity	2
compound splitting	2
language learning and teaching	2
semantic relatedness	2
deep parsing	2
semantic relation extraction and classification	2
chinese language processing	2
document-level statistical machine translation	2
accurate statistical machine translation systems	2
detecting hedges and their scope	2
investigating information structure	2
english-korean statistical machine translation	2
support vector machines	2
exploiting contextual information	2
document analysis	2
localization	2
education	2
conditional random fields	2
kaplan and kay	2
neural semantic role labeling	2
knowledge-grounded dialogue generation	2
resource-poor language	2
esl	2
unsupervised neural machine translation	2
text regression	2
referring expressions within a semantic network	2
action verbs	2
syntactic representation	2
supervised word sense disambiguation	2
transformer-based machine translation	2
a spoken language translation system	2
corpus construction	2
conversational language understanding	2
generating descriptions	2
rnn language models	2
the acl	2
user simulation	2
fever	2
query auto-completion	2
slot tagging	2
extracting semantic orientations	2
code-switching texts	2
learning semantic representations	2
parallel corpus mining	2
message understanding systems	2
btg-based statistical machine translation	2
cross-domain chinese word segmentation	2
improving translation quality	2
improved word embeddings	2
evaluating dialog systems	2
multi-modal neural machine translation	2
interactive problem solving	2
semantic change detection	2
email summarization	2
dialogue structure analysis	2
natural language acquisition	2
learning a syntagmatic and paradigmatic structure	2
discourse comprehension	2
qa	2
automatic essay scoring	2
biomedical word sense disambiguation	2
natural language information extraction	2
compositional semantics	2
online handwriting recognition	2
biomedicine	2
the integration	2
cooperative response generation	2
large-scale ontology translation	2
semeval-2013 task 10	2
thai word segmentation	2
detecting abusive language	2
turkish morphology	2
minimalist parsing	2
emotion intensity	2
fine-grained opinion mining	2
coherence-driven story comprehension	2
online shopping	2
the conll 2018 shared task	2
generalized expectation criteria	2
dialogue act annotation	2
working memory	2
human robot interaction	2
negation detection	2
syntactically annotated corpora	2
categorial grammar	2
post-editing evaluations	2
spoken-language understanding	2
mining the web	2
text summarization systems	2
low-resource sequence labeling	2
word recognition	2
zero pronoun resolution	2
the hoo 2012 shared task	2
disabled people	2
advisory dialogues	2
minimizing translation effort	2
minimum error rate training	2
phrase based statistical machine translation	2
aligning sentences	2
algebra word problems	2
term-domain interdependence	2
semantic graphs	2
a new domain	2
speech streams	2
aggregation	2
language and speech technology	2
multimodal dialogue systems	2
parsing german	2
depression and ptsd	2
multilingual readability assessment	2
grounded language understanding	2
finno-ugric minority languages	2
child language development	2
all-words word sense disambiguation	2
mt system combination	2
free	2
streaming speech translation	2
english-to-japanese machine translation	2
non-native spontaneous speech	2
computing semantic relatedness	2
the fly	2
tm creation	2
typed feature structures	2
the genomics domain	2
parsing spoken language	2
multimodal interaction	2
question ranking	2
answer retrieval	2
distributional thesauri	2
phrase recognition	2
semantic frame induction	2
information extraction and question answering	2
biomedical text mining	2
determining compositionality	2
dictation of radio news	2
searching	2
language teaching	2
task-oriented dialog	2
building a corpus	2
large vocabularies	2
medical concept extraction	2
human-machine interaction	2
learning translations	2
associative anaphora resolution	2
distantly supervised biomedical relation extraction	2
maximum entropy modelling	2
fast parsing	2
sequence classification	2
multilingual sequence labeling	2
data-driven parsing	2
noun-noun compound interpretation	2
processing definite descriptions	2
the 2007 acl workshop	2
semantic role labelling	2
machine translation error analysis	2
glue language deduction and categorial parsing	2
robust sentiment analysis	2
automatic thesaurus extraction	2
semeval-2010 task 7	2
semeval-2010 task 8	2
semeval-2010 task 3	2
semeval-2010 task 2	2
speech input	2
semeval-2010 task 1	2
automatic taxonomy induction	2
text engineering	2
training parsers	2
zero anaphora resolution	2
unlexicalized parsing	2
the conll-2015 shared task	2
example based machine translation	2
truth and deception	2
clinical information extraction	2
bionlp	2
tourism domain	2
a computational perspective	2
identifying prepositional phrases	2
character-level transduction	2
compound noun indexing	2
ccg semantic parsing	2
the wmt 2016 bilingual document alignment shared task	2
analysis and generation	2
suicide ideation detection	2
neural network language models	2
opinion holder extraction	2
bilingual document alignment	2
truly low-resource languages	2
translation quality	2
image description	2
exploring the effects	2
assessing the difficulty	2
translation inference across dictionaries	2
a pig	2
a text-to-speech system	2
identifying sources	2
the web people search task	2
capturing semantic similarity	2
vision-and-language navigation	2
unsupervised chinese coreference resolution	2
measuring the impact	2
humanities research	2
systemic grammars	2
natural language information retrieval	2
multilingual grapheme-to-phoneme conversion	2
streaming news	2
linguistic engineering	2
the wmt13 quality estimation shared task	2
temporal relation identification	2
novelty detection	2
opinion prediction	2
computer-aided translation	2
measuring the effect	2
lexical choice	2
collaborative language documentation	2
parsing fluent and disfluent speech	2
translational equivalence	2
fine-grained entity type classification	2
visual word recognition	2
vocabulary learning	2
tree-adjoining derivation	2
computer aided translation	2
verbal semantics	2
efficient context-free parsing	2
abstractive document summarization	2
life sciences	2
cross-lingual relation classification	2
detecting hate speech	2
code-switched speech recognition	2
classification	2
opinion question answering systems	2
chinese parsing	2
ellipsis and anaphora resolution	2
naming shapes	2
hyponymy relation acquisition	2
personality trait recognition	2
memory-based language learning	2
treebank annotation	2
understanding the role	2
large-scale grammars	2
identifying and translating technical terminology	2
improve the performance	2
multi-level annotation	2
english-chinese transliteration	2
the iwpt 2020 shared task	2
learning representations	2
generating questions	2
dialog management	2
discourse understanding	2
referring expressions generation	2
a classification problem	2
systematic polysemy	2
semeval-2014 task 9	2
semeval-2014 task 7	2
dynamic syntax	2
giving instructions	2
data augmentation	2
repetition	2
text analysis and retrieval	2
humour recognition	2
benchmarking smt performance	2
taxonomy construction	2
non-native speakers	2
short text categorization	2
one-level prosodic morphology	2
the question answering task	2
domains	2
neural conversation generation	2
unsupervised prepositional phrase attachment	2
definition modeling	2
common sense reasoning	2
rapid prototyping	2
multiword expression identification	2
improving the efficiency	2
second language acquisition modeling	2
detecting hyperpartisan news	2
named entity extraction	2
nmt	2
lexical composition	2
indicative summarization	2
identifying covid-19 information	2
surface realisation	2
estimating mt quality	2
learning an interpreted language	2
evaluating the utility	2
chinese machine translation	2
automatic document summarization	2
social media language	2
free word order languages	2
situated interaction	2
an hpsg parser	2
information-seeking dialogues	2
end-to-end aspect-based sentiment analysis	2
eleven languages	2
automated fact checking	2
a computational study	2
a shoestring	2
preprocessing	2
consideration	2
detecting and correcting syntactic errors	2
joint segmentation and pos-tagging	2
dependent type semantics	2
muc-6	2
muc-4	2
the roc story cloze task	2
conversational ai	2
spoken transliteration name access	2
finite-state morphology	2
learning natural language inference	2
the second shared task	2
morphologically complex languages	2
auto editing	2
question-answering systems	2
automatic terminology extraction	2
modeling local coherence	2
syntactic acquisition	2
hierarchical multi-label text classification	2
the legal domain	2
bleu	2
multimodal reference resolution	2
semantic underspecification	2
conversational machine comprehension	2
mining wikipedia	2
the lexical access problem	2
joint pos tagging and dependency parsing	2
learning correlations between linguistic indicators and semantic constraints	2
query-focused summarization	2
tactical generation	2
pronominal anaphora resolution	2
non-factoid question answering	2
psychology	2
a budget	2
a natural language generation system	2
keyword extraction	2
argument labeling	2
event argument extraction	2
measure expressions	2
machine translation reordering	2
everyone	2
content selection	2
robust speech recognition program summary	2
chinese dependency parsing	2
augmenting data	2
discriminating between similar languages	2
automated short answer scoring	2
spoken-language systems	2
disambiguating sentiment ambiguous adjectives	2
translation between german and english	2
ontology construction	2
spoken conversation	2
a visual domain	2
feature-based opinion mining	2
fact verification	2
math word problems	2
typed attribute-value logic	2
repair detection and correction	2
lexical cohesion	2
wmt 2018	2
wmt 2017	2
wmt 2012	2
wmt10	2
large vocabulary speech recognition	2
english-to-arabic statistical machine translation	2
learning distributed representations	2
text-to-sql parsing	2
information access	2
cross language information retrieval	2
toponym resolution	2
relation detection	2
developing spoken dialogue systems	2
dialectology	2
sentiment annotation	2
word-sense disambiguation	2
word2vec	2
information extraction tasks	2
wmt13	2
human parsing	2
instruction following	2
spoken language identification	2
developmental biology	2
resolving ambiguities	2
the indonesian language	2
foreign language teaching	2
situation recognition	2
open-domain conversation	2
the wmt18 multimodal translation task	2
taxonomy extraction	2
opinion question answering	2
narrative generation	2
personality prediction	2
automated information retrieval	2
the fracas test suite	2
non-factoid answer reranking	2
protein-protein interaction extraction	2
using the web	2
resource-scarce languages	2
lay post-editing	2
the translation industry	2
unsupervised semantic role induction	2
learning syntactic categories	2
early rumor detection	2
second-language learners	2
conll-2013 shared task	2
historical text normalization	2
spoken language generation	2
grammatical function labelling	2
transformer nmt	2
robust deep parsing	2
sampling	2
biomedical entity recognition	2
hate speech classification	2
hierarchical translation	2
linguistic annotations	2
patent classification	2
improving the performance	2
identification of informative covid-19 english tweets	2
distant supervision relation classification	2
conversational dialogue systems	2
linguistic patterns	2
task-oriented dialogues	2
term variation	2
russian morphology	2
duplicate question detection	2
named entity translation	2
segmentation	2
wmt 17	2
cooking recipes	2
fine-tuning neural machine translation	2
low-resource translation	2
wmt16 shared task	2
conll 2016 shared task	2
a temporal expression normalizer	2
document alignment	2
interaction grammars	2
technical domains	2
the task	2
the future	2
the conll 2017 ud shared task	2
translation equivalents	2
computer-assisted language learning	2
lexical databases	2
multilingual word sense disambiguation	2
low resource grammatical error correction	2
wide-coverage ccg parsing	2
gale distillation evaluation	2
nominal compounds	2
flexible parsing	2
knowledge management	2
polysynthetic languages	2
tokenization	2
error correction	2
compressive summarization	2
sequential metaphor detection	2
translation lexicons	2
privacy policies	2
turn-taking	2
building a lexicon	2
video captioning	2
korean morphological analysis and part-of-speech tagging	2
low-resource named entity recognition	2
a new source language	2
learning phrase representations	2
identifying main obstacles	2
natural language processing and information retrieval	2
english lexical substitution	2
chinese pos tagging and dependency parsing	2
the webnlg challenge	2
chinese-english machine translation	2
interactive question answering	2
unification-based parsing	2
parsing systems	2
the travel domain	2
nominal anaphora resolution	2
source code summarization	2
suicide risk assessment	2
form and meaning	2
factored statistical machine translation	2
phrase-based decoding	2
reducing word error rate	2
social media writing	2
detecting adverse drug reactions	2
sentiment summarization	2
parsing natural language	2
zero-anaphora resolution	2
annotating named entities	2
enriching word embeddings	2
weakly-supervised relation extraction	2
duration	2
semantic parsers	2
government	2
spoken language machine translation	2
hierarchical phrase-based statistical machine translation	2
cross-language domain-specific applications	2
web-based english-korean machine translation	2
affect detection	2
an information access platform	2
free conversation	2
chinese grammatical error diagnosis task	2
speech translation systems	2
answer validation	2
reading between the lines	2
paraphrasing out-of-vocabulary words	2
a technical domain	2
verb clustering	2
darpa communicator spoken dialogue systems	2
extractive text summarization	2
social media text	2
ontology verbalisation	2
low-resource machine translation	2
surface realization	2
document similarity	2
relation discovery	2
information aggregation	2
the proposition bank	2
practical grammar development	2
cat applications	2
interactive disambiguation	2
structured nlp models	2
the dialog state tracking challenge	2
morphology and semantics	2
unsupervised spoken language understanding	2
the public administration domain	2
automatic word sense disambiguation	2
grammar and style checking	2
multiple domains	2
determining the specificity	2
the spmrl 2013 shared task	2
broadcast news segmentation	2
exploiting portability	2
japanese ocr	2
pretrained language models	2
topic	2
word ordering	2
multi-sentence compression	2
conciseness and coherence	2
topic-based chinese message polarity classification	2
frame-semantic parsing	2
low-density languages	2
automatic book indexing	2
the fourth sighan bakeoff	2
computational argumentation	2
training a naive bayes classifier	2
support collaborative translator training	2
multiple nlp tasks	2
syntactic analysis	2
automatic text summarization	2
entity disambiguation	2
a computational view	2
cleaning web pages	2
response selection	2
geolocation	2
vocabulary training	2
headline generation	2
short texts	2
structured data	2
discourse phenomena	2
word representations	2
grounding language	2
update summarization	2
dependency grammar	2
fine-grained pos tagging	2
implicit emotion detection	2
aggression detection	2
automatic word acquisition	2
an ordinal scale	2
open-domain dialogue systems	2
unsupervised pos tagging	2
sequence generation	2
concept-to-speech generation	2
aligning more words	2
hpsg parse selection	2
arabic-english statistical machine translation	2
multi-label emotion classification	2
an annotation study	2
conll-2016 shared task	2
real world texts	2
concatenative morphology	2
semeval-2015 task 11	2
semeval-2015 task 12	2
zero-shot neural machine translation	2
natural language video localization	2
neural mt	2
dialogue processing	2
